"204199","股价连续涨停后大股东拟减持 双一科技涉嫌提前泄露未公开信息、炒作股价配合股东减持遭深交所问询恒泰艾普(300157)两高管涉嫌违规减持 瞒天过海1年后曝光酒鬼酒(000799)子公司账户近1亿存款被盗 已报案","资金账户风险","酒鬼酒"
"103453"," 在搜索引擎输入.尚赫”就可以发现多篇.尚赫涉嫌传销”.虚假宣传”.跨区经营”等各类媒体公开报道天津尚赫保健品有限公司违规经营的报道","涉嫌欺诈","尚赫"
"206305","综艺股份:大兴服装拟减持公司不超2%股份科新机电(300092)上市后业绩变脸 实际控制人拟减持六味地黄丸被爆重金属超标 上市企业或受影响","业绩下滑","科新机电"
"201979","四川双马(000935)待注资产再“缩水” 盈利预测下滑广电运通(002152)减持股份退出神州控股争夺战","业绩下滑","四川双马"
"103106"," 宝象金融涉嫌自融，项目造假，请停止犯罪！?各人看到没有，信达金控没有一个字的介绍，又是一个套路","涉嫌欺诈","宝象金融"
"209242","铁岭新城(000809)股东减持2805万股 占比5.1%恒邦股份(002237)涉嫌信批违规被立案调查三次出手火速套现 四环生物(000518)大股东减持5000万股","信批违规","恒邦股份"
"212257","三大原因致惠而浦会计差错 前两年净利更正后减少1.89亿远程电缆(002692)股东减持股份","业绩下滑","惠而浦"
"210579","佛山照明(000541)董事长辞职创兴资源(600193)虚假陈述索赔案开庭: 代理人将股民损失推给“股灾”","信批违规","创兴资源"
"104197"," 文章中深圳检方通报了，翁涛等人通过深圳光彩投资控股集团有限公司向社会发行虚拟货币“光彩币”，同时以传销的手段在全国范围内发展光彩币会员，涉嫌集资诈骗，已于近日由罗湖区人民检察院报送审查起诉","涉嫌传销","深圳光彩投资控股集团有限公司"
"208962","我武生物(300357)股东东方富海减持公司1.2%股份同洲电子(002052):监事王红伟短线交易获利855元","交易违规","同洲电子"
"203567","华尔街依然不喜欢通用电气 多位分析师建议卖出紫光古汉(000590)财务造假遭查","财务造假","紫光古汉"
"203244","东北制药(000597)董事长刘震因工作调动辞职外媒称阿里巴巴以9亿美元出售美团点评股权岳阳兴长(000819)二股东违规短线交易","交易违规","岳阳兴长"
"202799","重组中金在线或成泡影 三五互联(300051)大股东提前套现4000万雷蒙德詹姆斯下调英特尔评级 后者股价收跌2.13%欣泰电气(300372)或成欺诈发行退市第一股","评级调整","英特尔"
"206504","4日增减持:乐视网(300104)控股股东减持3524万股穆迪调降三家塞浦路斯银行评级","评级调整","塞浦路斯银行"
"202319","雄韬股份(002733)股东减持1033万股 共套现约2.58亿运盛实业(600767)重组被否股价连续涨停 乌龙公告遭质疑","重组失败","运盛实业"
"200905","收购标的产品曾被停用 天药股份(600488)未披露遭质疑西部利得拟清仓减持皖江物流(600575) 减持规模为4.86亿股","信批违规","天药股份"
"102109"," ”　　针对帅康电气起诉当代文化、当代控股这一案件，读娱君也采访了福建明嘉律师事务所律师刘若昀，他表示：“1、中云公司是与帅康电气签订合同产生的法律关系，不应缺席，必须参加诉讼；2、中云公司涉嫌刑事犯罪（非法集资）被立案侦查，本案属刑事案件范围，应由上海市公安局浦东分局先行处理，依据《最高人民法院关于在审理经济纠纷案件中涉及经济犯罪娣若干问题的规定》第十一条，应当裁定驳回帅康公司的起诉；3、由于此前约定资金被中云公司挪用，未对指定公司东兴公司进行增资，当代文化回购义务的前提条件并未成就，各保证人也无需承担保证责任；4、基于帅康公司提起的诉讼导致损失的，当代控股、当代文化可向法院提起诉讼要求帅康公司承担赔偿责任","涉嫌违法","中云公司"
"215001","证监会回应“南纺股份(600250)造假未退市”专题:一心堂“黑走”医保救命钱 黑龙江医保亡羊补牢","其他","NaN"
"207034","交易员违规瑞银CEO引咎辞职(快讯)智度投资(000676)复牌跌停 重组申请未获通过","重组失败","智度投资"
"200968","康美药业:前三季度净利同比增22% 证金公司减持涉嫌信息披露违法违规 保千里(600074)被立案调查","信批违规","保千里"
"202098","华农保险1亿股挂牌转让 单一最大股东稽山集团拟退出中钰科技未披露年度报告 主办券商提示风险泛亚发危机方案应对兑付 部分交易商品退市","信批违规","中钰科技"
"210349","折价10%甩卖三花股份(002050)大股东昨套现2.2亿内地股市在人行宣布降息前急涨 引内幕交易疑云为了结洗钱案汇丰认罚19亿美元","交易违规","人行"
"201123","国信证券开展打击防控内幕交易法制宣传活动维维股份(600300)四高管辞职制动系统存在隐患 宝马召回35万辆汽车","交易违规","国信证券"
"214773","携程承认存漏洞将加强监管湘鄂情(002306)董事副总裁訚肃辞职 改负责香港海外业务","其他","NaN"
"202094","陕西煤业(601225):华能国际(600011)拟清仓式减持不超4.4亿股九天云竹及相关主体多次违规交易被警示","交易违规","九天云竹"
"203653","亚星化学(600319)22亿收购构成关联交易 重组遭股东会否决日媒曝三菱汽车另有八款车型卷入油耗造假风波","重组失败","亚星化学"
"209053","同大股份(300321)股东减持210.6万股 占比4.74%大通燃气控股权拟溢价转让 实控人将变更","实控人股东变更","大通燃气"
"100373"," #大来国际衍恩堂怎么代理##晨隽堂是传销吗##大来国际衍恩堂怎么代理##衍恩堂##腰间盘突出##南宁生活圈##颈椎病##前任3:再见前任##钦州生活##大來国际##晨隽堂##大来国际衍恩堂怎么代理##晨隽堂是传销吗##神农贴##衍恩堂##南宁生活圈##大來国际##大来国际##大來国际是传销吗##衍恩堂怎么代理#...全文","其他","NaN"
"208569","正和股份(600759)大股东继续减持公司股份两大股东联名提案未能披露 *ST华泽收关注函被责令改正神开股份(002278)实际控制人减持1478万股","信批违规","*ST华泽"
"205976","海康威视(002415)股东拟减持不逾3000万股宁波热电(600982)董事长去世 定增事项或延迟","不能履职","宁波热电"
